townshipFullName,countyFullName,township,county
West Cocalico Township,Lancaster County,West Cocalico,Lancaster  
West Cornwall Township,Lebanon County,West Cornwall,Lebanon  
West Deer Township,Allegheny County,West Deer,Allegheny  
West Donegal Township,Lancaster County,West Donegal,Lancaster  
West Earl Township,Lancaster County,West Earl,Lancaster  
West Fallowfield Township,Chester County,West Fallowfield,Chester  
West Fallowfield Township,Crawford County,West Fallowfield,Crawford  
West Finley Township,Washington County,West Finley,Washington  
West Franklin Township,Armstrong County,West Franklin,Armstrong  
West Goshen Township,Chester County,West Goshen,Chester  
West Hanover Township,Dauphin County,West Hanover,Dauphin  
West Hemlock Township,Montour County,West Hemlock,Montour  
West Hempfield Township,Lancaster County,West Hempfield,Lancaster  
West Keating Township,Clinton County,West Keating,Clinton  
West Lampeter Township,Lancaster County,West Lampeter,Lancaster  
West Lebanon Township,Lebanon County,West Lebanon,Lebanon  
West Mahanoy Township,Schuylkill County,West Mahanoy,Schuylkill  
West Mahoning Township,Indiana County,West Mahoning,Indiana  
West Manchester Township,York County,West Manchester,York  
West Manheim Township,York County,West Manheim,York  
West Marlborough Township,Chester County,West Marlborough,Chester  
West Mead Township,Crawford County,West Mead,Crawford  
West Nantmeal Township,Chester County,West Nantmeal,Chester  
West Norriton Township,Montgomery County,West Norriton,Montgomery  
West Nottingham Township,Chester County,West Nottingham,Chester  
West Penn Township,Schuylkill County,West Penn,Schuylkill  
West Pennsboro Township,Cumberland County,West Pennsboro,Cumberland  
West Perry Township,Snyder County,West Perry,Snyder  
West Pike Run Township,Washington County,West Pike Run,Washington  
West Pikeland Township,Chester County,West Pikeland,Chester  
West Pottsgrove Township,Montgomery County,West Pottsgrove,Montgomery  
West Providence Township,Bedford County,West Providence,Bedford  
West Rockhill Township,Bucks County,West Rockhill,Bucks  
West Sadsbury Township,Chester County,West Sadsbury,Chester  
West Salem Township,Mercer County,West Salem,Mercer  
West Shenango Township,Crawford County,West Shenango,Crawford  
West St. Clair Township,Bedford County,West St. Clair,Bedford  
West Taylor Township,Cambria County,West Taylor,Cambria  
West Township,Huntingdon County,West,Huntingdon  
West Vincent Township,Chester County,West Vincent,Chester  
West Wheatfield Township,Indiana County,West Wheatfield,Indiana  
West Whiteland Township,Chester County,West Whiteland,Chester  
Westfall Township,Pike County,Westfall,Pike  
Westfield Township,Tioga County,Westfield,Tioga  
Westtown Township,Chester County,Westtown,Chester  
Wetmore Township,McKean County,Wetmore,McKean  
Wharton Township,Fayette County,Wharton,Fayette  
Wharton Township,Potter County,Wharton,Potter  
Wheatfield Township,Perry County,Wheatfield,Perry  
White Deer Township,Union County,White Deer,Union  
White Township,Beaver County,White,Beaver  
White Township,Cambria County,White,Cambria  
White Township,Indiana County,White,Indiana  
Whitehall Township,Lehigh County,Whitehall,Lehigh  
Whiteley Township,Greene County,Whiteley,Greene  
Whitemarsh Township,Montgomery County,Whitemarsh,Montgomery  
Whitpain Township,Montgomery County,Whitpain,Montgomery  
Wiconisco Township,Dauphin County,Wiconisco,Dauphin  
Wilkes-Barre Township,Luzerne County,Wilkes-Barre,Luzerne  
Wilkins Township,Allegheny County,Wilkins,Allegheny  
Williams Township,Dauphin County,Williams,Dauphin  
Williams Township,Northampton County,Williams,Northampton  
Willistown Township,Chester County,Willistown,Chester  
Wilmington Township,Lawrence County,Wilmington,Lawrence  
Wilmington Township,Mercer County,Wilmington,Mercer  
Wilmot Township,Bradford County,Wilmot,Bradford  
Windham Township,Bradford County,Windham,Bradford  
Windham Township,Wyoming County,Windham,Wyoming  
Windsor Township,Berks County,Windsor,Berks  
Windsor Township,York County,Windsor,York  
Winfield Township,Butler County,Winfield,Butler  
Winslow Township,Jefferson County,Winslow,Jefferson  
Wolf Creek Township,Mercer County,Wolf Creek,Mercer  
Wolf Township,Lycoming County,Wolf,Lycoming  
Wood Township,Huntingdon County,Wood,Huntingdon  
Woodbury Township,Bedford County,Woodbury,Bedford  
Woodbury Township,Blair County,Woodbury,Blair  
Woodcock Township,Crawford County,Woodcock,Crawford  
Woodward Township,Clearfield County,Woodward,Clearfield  
Woodward Township,Clinton County,Woodward,Clinton  
Woodward Township,Lycoming County,Woodward,Lycoming  
Worcester Township,Montgomery County,Worcester,Montgomery  
Worth Township,Butler County,Worth,Butler  
Worth Township,Centre County,Worth,Centre  
Worth Township,Mercer County,Worth,Mercer  
Wright Township,Luzerne County,Wright,Luzerne  
Wrightstown Township,Bucks County,Wrightstown,Bucks  
Wyalusing Township,Bradford County,Wyalusing,Bradford  
Wysox Township,Bradford County,Wysox,Bradford  
York Township,York County,York,York  
Young Township,Indiana County,Young,Indiana  
Young Township,Jefferson County,Young,Jefferson  
Zerbe Township,Northumberland County,Zerbe,Northumberland  
Philadelphia,Philadelphia,Philadelphia,Philadelphia
